InstanceType,memory_gb,vcpu,network
t3a.large,8.0,2,Up to 5 Gigabit
i2.4xlarge,122.0,16,High
m6a.8xlarge,128.0,32,12500 Megabit
t2.small,2.0,1,Low to Moderate
i4i.large,16.0,2,Up to 10 Gigabit
m6id.16xlarge,256.0,64,25000 Megabit
g5.xlarge,16.0,4,Up to 10 Gigabit
i4i.32xlarge,1024.0,128,75000 Megabit
r6a.12xlarge,384.0,48,18750 Megabit
c6i.16xlarge,128.0,64,25000 Megabit
r5dn.24xlarge,768.0,96,100 Gigabit
a1.4xlarge,32.0,16,Up to 10 Gigabit
t2.micro,1.0,1,Low to Moderate
m5a.16xlarge,256.0,64,12 Gigabit
m5zn.6xlarge,96.0,24,50 Gigabit
m6a.48xlarge,768.0,192,50000 Megabit
c5ad.2xlarge,16.0,8,Up to 10 Gigabit
c7g.large,4.0,2,Up to 12500 Megabit
c6gd.xlarge,8.0,4,Up to 10 Gigabit
m6id.24xlarge,384.0,96,37500 Megabit
r6g.xlarge,32.0,4,Up to 10 Gigabit
r5.large,16.0,2,Up to 10 Gigabit
u-3tb1.56xlarge,3072.0,224,50 Gigabit
m5dn.2xlarge,32.0,8,Up to 25 Gigabit
x2iedn.8xlarge,1024.0,32,25 Gigabit
c6gd.12xlarge,96.0,48,20 Gigabit
im4gn.4xlarge,64.0,16,25 Gigabit
r5dn.12xlarge,384.0,48,50 Gigabit
c3.4xlarge,30.0,16,High
m5.16xlarge,256.0,64,20 Gigabit
g4dn.12xlarge,192.0,48,50 Gigabit
c6id.16xlarge,128.0,64,25000 Megabit
r3.4xlarge,122.0,16,High
c4.2xlarge,15.0,8,High
m5.large,8.0,2,Up to 10 Gigabit
c5a.2xlarge,16.0,8,Up to 10 Gigabit
r3.large,15.25,2,Moderate
r6gd.medium,8.0,1,Up to 10 Gigabit
r5dn.4xlarge,128.0,16,Up to 25 Gigabit
m6g.8xlarge,128.0,32,10 Gigabit
x2iedn.16xlarge,2048.0,64,50 Gigabit
p3dn.24xlarge,768.0,96,100 Gigabit
m5n.2xlarge,32.0,8,Up to 25 Gigabit
c6a.16xlarge,128.0,64,25000 Megabit
c5.large,4.0,2,Up to 10 Gigabit
c4.8xlarge,60.0,36,10 Gigabit
r6g.16xlarge,512.0,64,25 Gigabit
h1.4xlarge,64.0,16,Up to 10 Gigabit
d3.xlarge,32.0,4,Up to 15 Gigabit
m6a.32xlarge,512.0,128,50000 Megabit
